Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
1285;Efteland;Kraftverk;K;EFTELAND KRAFTVERK AS;927185776;Rogaland;11;Eigersund;01;2006;2006;0,2;0,634;;;;2;027.3C0;ja;2006-12-07;[object Object];Idrift;;;Hellelandselva;;999;nei;;4;NVE - område: 4;
1136;Eftestøl;Kraftverk;K;EFTESTØL Ole Tom;969095335;Agder;42;Kvinesdal;27;2000;2000;0,4;1,411;;;;2;025.AC4Z;ja;2000-01-01;;Idrift;;;Kvina;;127;nei;;4;NVE - område: 4;
1378;Egge;Kraftverk;K;SMÅKRAFT GREEN BOND 1 AS;921075758;Vestland;46;Gloppen;50;2007;2007;5;18,95;322;1,8;0,772;3;087.D4A;ja;2007-03-21;[object Object];Idrift;;;Breimsvassdraget;06;369;nei;;13;NVE - område: 13;
777;Eid;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Sør-Aurdal;49;2000;2000;9,6;55,207;12,5;85;0,031;1;012.H51;ja;2000-07-07;[object Object],[object Object];Idrift;;;Drammensvassdraget;30;043;nei;;1;NVE - område: 1;
1553;Eide;Kraftverk;K;EIRIK M EIDE;981950275;Vestland;46;Fitjar;15;2008;2008;0,09;0,286;210;0,052;0,481;2;044.1;ja;2008-01-07;[object Object];Idrift;;;KYSTFELT;;999;nei;;5;NVE - område: 5;
68;Eidefossen;Kraftverk;K;EIDEFOSS VANNKRAFT AS;923354220;Innlandet;34;Vågå;35;1983;1983;13,2;32,396;18,89;93,83;0,039;3;002.DHA42;ja;1983-06-23;[object Object],[object Object],[object Object],[object Object];Idrift;;;Glommavassdraget;41;005;nei;;8;NVE - område: 8;
69;Eidesfossen;Kraftverk;K;HARDANGER ENERGI AS;983502601;Vestland;46;Ullensvang;18;1954;1954;3,8;11,88;70;6,8;0,155;5;047.2B0;ja;1954-01-01;[object Object];Idrift;;;Jondalselvi;01;208;nei;;6;NVE - område: 6;
70;Eidet;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Telemark ;40;Skien;03;1960;1960;2,3;15,945;5,02;60;0,0106;2;016.A122;ja;1960-01-01;[object Object],[object Object];Idrift;;;Skiensvassdraget;01;078;nei;;3;NVE - område: 3;
1224;Eidsdal;Kraftverk;K;EIDSDAL KRAFTVERK AS;926707043;Møre og Romsdal;15;Fjord;78;2006;2006;6,085;23,629;196;3,59;0,471;3;099.1A;ja;2006-09-27;[object Object];Idrift;;;Eidsdalselva;01;415;nei;;8;NVE - område: 8;
1453;Eidsetelva;Kraftverk;K;SMÅKRAFT AS;984616155;Møre og Romsdal;15;Volda;77;2011;2011;1,8;4,878;390;0,55;0,909;3;094.212;ja;2011-09-07;[object Object];Idrift;;;KYSTFELT;01;380;nei;;13;NVE - område: 13;
72;Eidsfoss;Kraftverk;K;NORSJØKRAFT AS;998890314;Telemark ;40;Nome;18;1964;1964;15;79,861;10;166,66;0,025;2;016.BA2;ja;1964-12-14;[object Object];Idrift;;;Skiensvassdraget;68;078;nei;;3;NVE - område: 3;
73;Eidsfoss;Kraftverk;K;JOTUN KRAFTPRODUKSJON AS;925604569;Innlandet;34;Vang;54;1956;1956;4,1;19,498;49;10,85;0,104;1;012.Q2;ja;1956-01-01;[object Object];Idrift;;;Drammensvassdraget;45;043;nei;;1;NVE - område: 1;
1120;Eidsfoss;Kraftverk;K;Aktieselskapet Eidsfos Verk;911314436;Vestfold;39;Holmestrand;03;1903;1903;0,9;3,174;;;;2;012.AB6;ja;1903-01-01;[object Object];Idrift;;;Drammensvassdraget;;043;nei;;3;NVE - område: 3;
71;Eidsfossen;Kraftverk;K;GLOPPEN ENERGI AS;993039330;Vestland;46;Gloppen;50;1917;1949;9,94;62,677;33,8;34,5;0,079;3;087.A12;ja;1949-01-01;[object Object];Idrift;;;Breimsvassdraget;01;369;nei;;13;NVE - område: 13;
1380;Eidsfossen;Kraftverk;K;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Heim;55;1922;1922;0,4;1,671;31;2;;3;119.1C;ja;1922-12-31;[object Object];Idrift;;;Søa;;475;nei;;8;NVE - område: 8;
1828;Eidsland 1;Kraftverk;K;EIDSLAND ENERGI AS;921662114;Vestland;46;Vaksdal;28;2015;2015;0,46;2,019;123;0,42;0,304;5;063.A10;ja;2015-06-29;[object Object];Idrift;;;Eksingedalsvassdraget;;257;nei;;6;NVE - område: 6;
1964;Eidsland 2;Kraftverk;K;EIDSLAND ENERGI AS;921662114;Vestland;46;Vaksdal;28;2019;2019;0,63;1,312;243;0,32;0,547;5;063.A10;ja;2019-12-20;[object Object];Idrift;;;Eksingedalsvassdraget;;257;nei;;6;NVE - område: 6;
864;Eikedalsvatten;Kraftverk;K;;;Møre og Romsdal;15;Molde;06;1986;1986;0,032;0,089;;;;3;104.B2;ja;1986-01-01;;Idrift;;;Eira;;437;nei;;8;NVE - område: 8;
74;Eikelandsosen;Kraftverk;K;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Bjørnafjorden;24;1986;1986;30;94,992;500;7,2;1,15;2;055.2Z;ja;1986-09-01;[object Object];Idrift;;;Eikelandsvassdraget;01;243;nei;;5;NVE - område: 5;
2078;Eikemo;Kraftverk;K;SMÅKRAFT GREEN BOND 1 AS;921075758;Vestland;46;Vaksdal;28;2023;2023;3,81;11,9;489,97;0,94;1,126;5;063.A4C;ja;2023-01-20;[object Object],[object Object];Idrift;;;Eksingedalsvassdraget;11;257;nei;;6;NVE - område: 6;
2146;Eikemo;Kraftverk;K;EIKEMO KRAFTVERK AS;927682524;Vestland;46;Etne;11;2025;2025;3,01;11;152;2,42;0,346;2;042.42B0;ja;2025-03-18;[object Object];Idrift;;;Eikemoelva;02;187;nei;;5;NVE - område: 5;
915;Eimstad;Kraftverk;K;;;Vestland;46;Voss;21;2002;2002;0,019;0,112;;;;5;062.E11;ja;2002-01-01;[object Object];Idrift;;;Vossovassdraget;;254;nei;;6;NVE - område: 6;
2059;Einungstølsåna;Kraftverk;K;EINUNGSTØLSÅNA KRAFTVERK AS;925315184;Vestland;46;Ullensvang;18;2023;2023;2,8;8,7;174,95;1,85;0,42;2;036.G2;ja;2023-06-21;[object Object];Idrift;;;Suldalsvassdraget;;166;nei;;3;NVE - område: 3;
75;Einunna;Kraftverk;K;ØSTERDALEN KRAFTPRODUKSJON AS;980343235;Innlandet;34;Folldal;29;1955;2019;9;56,501;123;9,6;0,26;1;002.MBA4;ja;2019-10-25;[object Object],[object Object],[object Object],[object Object];Idrift;;;Glommavassdraget;78;004;nei;;1;NVE - område: 1;
1739;Eiriksdal;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Vestland;46;Høyanger;38;2013;2013;80;298,924;570,4;16;1,389;3;079.BA2;ja;2013-11-22;[object Object],[object Object],[object Object];Idrift;;;Høyangervassdraget;06;327;nei;;13;NVE - område: 13;
1752;Eitro;Kraftverk;K;EITRO KRAFTVERK AS;890712592;Vestland;46;Bjørnafjorden;24;2013;2013;4,1;8,93;510,4;0,95;1,199;2;053.D3;ja;2013-05-31;[object Object];Idrift;;;Sævareidvassdraget;03;242;nei;;5;NVE - område: 5;
1418;Ekkjestølen;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Ullensvang;18;2009;2009;4;13,482;463;0,98;1,134;2;036.E2B;ja;2009-03-04;[object Object];Idrift;;;Suldalsvassdraget;32;166;nei;;3;NVE - område: 3;
1907;Eldao;Kraftverk;K;ELDAO KRAFTVERK AS;913347412;Vestland;46;Luster;44;2018;2018;9,8;29,011;201;5,8;0,469;5;077.C4Z;ja;2018-10-25;[object Object];Idrift;;;Årøyvassdraget;05;312;nei;;7;NVE - område: 7;
2079;Elde;Kraftverk;K;ELDE KRAFT AS;923750738;Vestland;46;Bremanger;48;2022;2022;1,4;4,508;105;1,8;0,216;3;086.41Z;ja;2022-06-27;[object Object],[object Object];Idrift;;;Eldeelva;;999;nei;;13;NVE - område: 13;
1571;Eldrevatn;Kraftverk;K;ØSTFOLD ENERGI AS;879904412;Vestland;46;Lærdal;42;2013;2013;4,9;24,252;141,4;3,9;0,349;5;073.CD2A2A0;ja;2013-10-28;[object Object],[object Object];Idrift;;;Lærdalsvassdraget;05;298;nei;;2;NVE - område: 2;
1622;Ellenelva;Kraftverk;K;NORDIC POWER AS;914341183;Troms;55;Tromsø;01;2012;2012;4,8;11,286;176;3,3;0,404;4;203.A0;ja;2012-08-29;[object Object];Idrift;;;Lakselva;01;810;nei;;11;NVE - område: 11;
1167;Ellingsbekken;Kraftverk;K;KIÆR MYKLEBY Anders Kiær;961272432;Innlandet;34;Stor-Elvdal;23;2005;2005;0,037;0,086;24;0,2;;1;002.K6A2;ja;2005-01-01;[object Object];Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
1655;Embla;Kraftverk;K;EMBLA KRAFT AS;994230905;Møre og Romsdal;15;Stranda;25;2012;2012;4,9;11,226;411,65;1,5;0,907;3;098.3C;ja;2012-08-15;[object Object];Idrift;;;Storelva;05;409;nei;;8;NVE - område: 8;
76;Embretsfoss;Kraftverk;K;EMBRETSFOSSKRAFTVERKENE DA;996257959;Buskerud;33;Modum;16;1916;1954;71;337,228;16,3;475;0,042;1;012.C1;ja;1954-01-01;[object Object],[object Object];Idrift;;;Drammensvassdraget;04;043;nei;;1;NVE - område: 1;
1318;Engeset;Kraftverk;K;ENGESET KRAFT AS;987857048;Møre og Romsdal;15;Stranda;25;2007;2007;5,1;16,063;129;4,6;0,308;3;098.3AB;ja;2007-01-17;[object Object];Idrift;;;Storelva;02;409;nei;;8;NVE - område: 8;
2039;Engesetelva;Kraftverk;K;SMÅKRAFT USPP 1 AS;928613313;Vestland;46;Gulen;35;2021;2021;3,24;9,631;318,5;1,2;0,75;5;069.31Z;ja;2021-11-08;[object Object];Idrift;;;Storelva;;999;nei;;6;NVE - område: 6;
1083;Erdal;Kraftverk;K;ERDAL MINIKRAFT AS;986364366;Vestland;46;Eidfjord;19;2005;2005;0,725;3,773;132;0,7;0,288;5;050.3A;ja;2005-05-02;[object Object];Idrift;;;Erdalsvassdraget;;999;nei;;2;NVE - område: 2;
1554;Erfjord;Kraftverk;K;ERFJORD MIKROKRAFTVERK;992046376;Rogaland;11;Suldal;34;2008;2008;0,09;0,17;45;0,08;;2;035.8;ja;2008-08-25;[object Object];Idrift;;;KYSTFELT;;999;nei;;3;NVE - område: 3;
933;Ervik;Kraftverk;K;;;Møre og Romsdal;15;Volda;77;1997;1997;0,012;0,029;;;;3;094.61;ja;1997-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;8;NVE - område: 8;
2098;Ervikselva;Kraftverk;K;ERVIKSELVA KRAFT AS;923366547;Vestland;46;Sunnfjord;47;2024;2024;5,5;16,7;177,17;3,7;0,413;3;084.61Z;ja;2024-08-06;[object Object];Idrift;;;Soleimselva;;999;nei;;13;NVE - område: 13;
1930;Espeelvi;Kraftverk;K;ESPEELVI KRAFT AS;998805198;Vestland;46;Ullensvang;18;2018;2018;4,56;12,022;615;0,85;1,49;5;049.2A;ja;2018-05-09;[object Object];Idrift;;;Espeelvi;;999;nei;;6;NVE - område: 6;
1831;Espeland;Kraftverk;K;ESPELAND MINIKRAFTVERK AS;913377400;Vestland;46;Hyllestad;37;2015;2015;0,27;0,725;113;0,2;0,25;3;080.4Z;ja;2015-09-25;[object Object];Idrift;;;Lølandselva;;331;nei;;13;NVE - område: 13;
77;Evanger;Kraftverk;K;EVINY FORNYBAR AS;876944642;Vestland;46;Voss;21;1969;1969;330;1303,199;770;53,8;1,704;5;062.BA0;ja;1969-03-03;[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Vossovassdraget;11;254;nei;;6;NVE - område: 6;
1340;Evebøfossen;Kraftverk;K;GLOPPEN ENERGI AS;993039330;Vestland;46;Gloppen;50;1910;1910;0,38;2,078;6;8;0,0132;3;087.A121;ja;1910-01-01;;Idrift;;;Breimsvassdraget;30;369;nei;;13;NVE - område: 13;
78;Evenstad;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Froland;14;1904;1939;23,5;121,355;17,3;175,92;0,039;2;019.B42;ja;1939-01-01;[object Object],[object Object],[object Object];Idrift;;;Arendalsvassdraget;03;105;nei;;4;NVE - område: 4;
1604;Fagerdalen;Kraftverk;K;FAGERDALEN KRAFTVERK AS;988198641;Vestland;46;Vaksdal;28;2007;2007;0,8;3,34;;;;5;063.A8Z;ja;2007-10-01;[object Object];Idrift;;;Eksingedalsvassdraget;;257;nei;;6;NVE - område: 6;
1283;Fagerelva;Kraftverk;K;;;Vestland;46;Stad;49;2001;2001;0,035;0,116;;;;3;089.41;ja;2001-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;13;NVE - område: 13;
79;Fagerli;Kraftverk;K;SKS PRODUKSJON AS;915637353;Nordland;18;Fauske %u2013 Fuossko;41;1975;1975;48;282,489;231,69;24;0,556;4;164.D5;ja;1975-06-01;[object Object],[object Object];Idrift;;;Sulitjelmavassdraget;11;698;nei;;10;NVE - område: 10;
1504;Fagerlid;Kraftverk;K;FAGERLID MINIKRAFTVERK AS;990281343;Vestland;46;Stad;49;2008;2008;0,32;0,791;;;;3;089.622Z;ja;2008-08-28;[object Object];Idrift;;;Totlandselva;;999;nei;;13;NVE - område: 13;
538;Fagervollan;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Rana;33;1990;1990;21;66,084;227;7,4;0,69;4;157.1B5A;ja;1990-09-01;[object Object],[object Object],[object Object];Idrift;;;Holmelva;02;658;nei;;10;NVE - område: 10;
1500;Fall;Kraftverk;K;VOKKS KRAFT AS;976550013;Innlandet;34;Søndre Land;47;2009;2009;5,5;22,311;237;3;0,509;1;012.EC520;ja;2009-01-01;[object Object];Idrift;;;Drammensvassdraget;14;043;nei;;1;NVE - område: 1;
80;Faslefoss;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Nord-Aurdal;51;1980;1980;17,8;79,641;37,5;60,29;0,082;1;012.K;ja;1980-03-01;[object Object];Idrift;;;Drammensvassdraget;36;043;nei;;1;NVE - område: 1;
1788;Fatland;Kraftverk;K;FATLAND KRAFT AS;999330061;Vestland;46;Kvinnherad;17;2014;2014;0,975;2,88;156,8;0,88;0,308;2;042.62Z;ja;2014-02-25;[object Object];Idrift;;;Fatlandselva;;999;nei;;5;NVE - område: 5;
1041;Fausa I;Kraftverk;K;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Stranda;25;1929;1929;0,78;3,291;;;;3;098.2A;ja;1929-01-01;;Idrift;;;Fausaelva;;408;nei;;8;NVE - område: 8;
81;Fausa II;Kraftverk;K;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Stranda;25;1952;1952;7;40,536;330;2,5;0,678;3;098.2A;ja;1952-01-01;[object Object],[object Object],[object Object];Idrift;;;Fausaelva;01;408;nei;;8;NVE - område: 8;
228;Fellesanlegget Kykkelsrud-Fossumfoss;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Østfold;31;Indre Østfold;18;1963;1963;230;1233,026;27;1025;0,0623;1;002.B3;ja;1963-01-01;[object Object],[object Object];Idrift;;;Glommavassdraget;17;004;nei;;1;NVE - område: 1;
2115;Femangerlaks;Kraftverk;K;AS FEMANGERLAKS;939377697;Vestland;46;Bjørnafjorden;24;2022;2022;0,05;0,3;;;;2;053.7Z;ja;2022-12-31;;Idrift;;;Femangerelva;;999;nei;;5;NVE - område: 5;
2104;Fennefoss;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Evje og Hornnes;19;2023;2023;9,5;59;7,93;135;0,02;2;021.C11;ja;2023-03-21;[object Object],[object Object];Idrift;;;Otra;08;115;nei;;4;NVE - område: 4;
82;Finndøla;Kraftverk;K;FINNDØLA KRAFTVERK DA;971037253;Telemark ;40;Fyresdal;32;1972;1972;108;296,525;298;42,97;0,698;2;019.DB22;ja;1972-10-28;[object Object],[object Object],[object Object],[object Object];Idrift;;;Arendalsvassdraget;36;105;nei;;3;NVE - område: 3;
1469;Finnesetbekken;Kraftverk;K;CADRE ELVEKRAFT AS;929375769;Buskerud;33;Nesbyen;22;2011;2011;1,428;2,951;299,1;0,54;0,735;5;012.CC5B;ja;2011-04-27;[object Object];Idrift;;;Drammensvassdraget;87;043;nei;;2;NVE - område: 2;
83;Finså;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Sirdal;28;1963;1963;23;160,642;298;8,9;0,671;2;026.D42;ja;1963-01-01;[object Object],[object Object],[object Object],[object Object];Idrift;;;Sira;41;132;nei;;4;NVE - område: 4;
84;Fiskefjord;Kraftverk;K;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Hadsel;66;1979;1979;1,5;4,079;60;2,89;0,143;4;178.42A;ja;1979-01-01;;Idrift;;;Fiskfjordelva;02;756;nei;;11;NVE - område: 11;
1936;Fiskløysa;Kraftverk;K;SMÅKRAFT GREEN BOND 1 AS;921075758;Trøndelag;50;Lierne;42;2018;2018;5,1;18,595;187,1;3,25;0,436;4;307.3AB2Z;ja;2018-09-27;[object Object];Idrift;;;Faxälven;;965;nei;;10;NVE - område: 10;
1063;Fiskå Mølle;Kraftverk;K;;;Rogaland;11;Strand;30;1984;1984;0,1;0,473;;;;2;033.1A;ja;1984-01-01;;Idrift;;;Fiskåna;;999;nei;;4;NVE - område: 4;
2021;Fivelandselva;Kraftverk;K;SMÅKRAFT GREEN BOND 2 AS;825750932;Rogaland;11;Sauda;35;2020;2020;3,06;9,125;244,74;1,5;0,567;2;037.AA0;ja;2020-12-10;[object Object];Idrift;;;Saudavassdraget;;170;nei;;5;NVE - område: 5;
85;Fivlemyr;Kraftverk;K;HYDRO ENERGI AS;930187240;Vestland;46;Luster;44;1962;1962;2;8,411;230;1,1;0,504;5;075.DB;ja;1962-01-01;[object Object];Idrift;;;Fortunvassdraget;03;307;nei;;7;NVE - område: 7;
1327;Fjellanger;Kraftverk;K;FJELLANGER KRAFTVERK AS;987394005;Vestland;46;Vaksdal;28;2006;2006;0,8;3,416;100;;;5;063.A8Z;ja;2006-10-09;[object Object];Idrift;;;Eksingedalsvassdraget;;999;nei;;6;NVE - område: 6;
1801;Fjellet;Kraftverk;K;LØVENSKIOLD-FOSSUM KRAFT AS;994200682;Telemark ;40;Skien;03;2015;2015;4,3;11,363;183;2,7;0,442;2;016.AF;ja;2015-01-30;[object Object];Idrift;;;Skiensvassdraget;05;078;nei;;3;NVE - område: 3;
1546;Fjellhaugen;Kraftverk;K;FJELLHAUGEN SKISENTER AS;962979327;Vestland;46;Kvinnherad;17;2008;2008;0,16;0,431;;;;2;042.B1;ja;2008-09-15;[object Object];Idrift;;;Blåelva;;193;nei;;5;NVE - område: 5;
1764;Fjelna;Kraftverk;K;NORDIC POWER AS;914341183;Trøndelag;50;Heim;55;2015;2015;4,83;12,306;82,5;7,5;0,179;3;113.A0;ja;2015-03-11;[object Object];Idrift;;;Fjelna;03;463;nei;;8;NVE - område: 8;
2045;Fjerdingelva;Kraftverk;K;FJERDINGELVA AS;916054998;Trøndelag;50;Grong;45;2022;2022;5,1;17,025;88;6,82;0,207;4;139.D3Z;ja;2022-05-12;[object Object];Idrift;;;Namsen;50;579;nei;;10;NVE - område: 10;
86;Fjone;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Telemark ;40;Nissedal;30;1970;1970;50;128,707;258;22,51;0,616;2;019.F420;ja;1970-04-10;[object Object];Idrift;;;Arendalsvassdraget;21;105;nei;;3;NVE - område: 3;
87;Fjæremsfoss;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim;01;1957;1957;18,8;99,066;27;80,33;0,064;3;123.A5;ja;1957-01-01;;Idrift;;;Nidelvvassdraget;03;499;nei;;9;NVE - område: 9;
1358;Flaen Mølle;Kraftverk;K;;;Akershus;32;Hurdal;42;2006;2006;0,021;0,018;;;;1;002.DAC3;ja;2006-01-01;[object Object];Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
2067;Flateland;Kraftverk;K;VEGUSDAL KRAFTVERK AS;977359805;Agder;42;Birkenes;16;2024;2024;9,9;47;150,33;7,5;0,367;2;020.BBA0;ja;2024-01-18;[object Object],[object Object];Idrift;;;Tovdalsvassdraget;22;111;nei;;4;NVE - område: 4;
775;Flatenfoss 2;Kraftverk;K;ARENDALS FOSSEKOMPANI ASA;910261525;Agder;42;Åmli;17;1981;1981;5,5;27,564;10,38;60;0,025;2;019.C22;ja;1981-10-01;;Idrift;;;Arendalsvassdraget;07;105;nei;;4;NVE - område: 4;
88;Flatenfoss 3;Kraftverk;K;ARENDALS FOSSEKOMPANI ASA;910261525;Agder;42;Åmli;17;1927;2009;7,1;40,284;10,38;80;0,0247;2;019.C22;ja;2009-10-01;[object Object];Idrift;;;Arendalsvassdraget;05;105;nei;;4;NVE - område: 4;
2086;Flatestøl;Kraftverk;K;SKÅRÅNA KRAFT AS;923591028;Rogaland;11;Lund;12;2022;2022;2,07;7,015;49,55;4,6;0,125;2;026.BCA;ja;2022-08-24;[object Object];Idrift;;;Sira;;132;nei;;4;NVE - område: 4;
1241;Flatlandsåi;Kraftverk;K;VRÅDAL KRAFT AS;985780595;Telemark ;40;Kviteseid;28;2006;2006;1,3;4,88;348;0,45;0,802;2;019.G;ja;2006-01-03;[object Object];Idrift;;;Arendalsvassdraget;25;105;nei;;3;NVE - område: 3;
1093;Flatråker;Kraftverk;K;;;Vestland;46;Tysnes;16;2003;2003;0,9;3,7;;;;2;054.6B;ja;2003-01-01;[object Object];Idrift;;;Flataråkerelva;;999;nei;;5;NVE - område: 5;
2025;Flikka;Kraftverk;K;SIRDAL KRAFT AS;920828108;Agder;42;Flekkefjord;07;2021;2021;1,93;6,058;117,8;1,939;0,276;2;025.52B;ja;2021-05-12;[object Object];Idrift;;;Flikkabekken;;999;nei;;4;NVE - område: 4;
89;Flittig;Kraftverk;K;LØVENSKIOLD FOSSUM KRAFT;982699614;Telemark ;40;Skien;03;1962;2017;6,5;39,105;146,95;5,2;0,358;2;016.AD2;ja;2017-06-01;[object Object],[object Object];Idrift;;;Skiensvassdraget;04;078;nei;;3;NVE - område: 3;
769;Flørli;Kraftverk;K;LYSE KRAFT DA;925749419;Rogaland;11;Sandnes;08;1999;1999;80;262,185;755;12;1,852;2;031.2Z;ja;1999-01-01;[object Object],[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Flørliåa;01;152;nei;;4;NVE - område: 4;
908;Fløtre;Kraftverk;K;JAN KÅRE FLØTRE;869830852;Vestland;46;Gloppen;50;2000;2000;0,05;0,209;55;;;3;087.C0;ja;2000-01-01;[object Object];Idrift;;;Breimsvassdraget;20;369;nei;;13;NVE - område: 13;
1728;Folkedal;Kraftverk;K;HARDANGER ENERGI AS;983502601;Vestland;46;Voss;21;2013;2013;4,99;20,107;369,3;1,75;0,792;5;052.21A2;ja;2013-01-09;[object Object],[object Object],[object Object];Idrift;;;Folkedalselva;01;229;nei;;6;NVE - område: 6;
1233;Folkestad;Kraftverk;K;FOLKESTAD KRAFTVERK AS;988008192;Møre og Romsdal;15;Volda;77;2006;2006;1,85;6,546;210;1;0,486;3;094.3Z;ja;2006-03-14;[object Object];Idrift;;;Folkestadelva;01;397;nei;;13;NVE - område: 13;
92;Follafoss;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Steinkjer;06;1923;2005;48,1;200,204;175,3;29;0,452;3;129.A;ja;2005-09-26;[object Object];Idrift;;;Follavassdraget;01;522;nei;;9;NVE - område: 9;
1175;Follebu bruk;Kraftverk;K;FOLLEBU BRUK AS;811747912;Innlandet;34;Gausdal;41;1950;2004;0,4;1,641;9,5;7,5;0,02;1;002.DDA0;ja;2004-01-01;[object Object];Idrift;;;Glommavassdraget;;005;nei;;1;NVE - område: 1;
1795;Follsjå;Kraftverk;K;FOLLSJÅ KRAFT AS;912466566;Telemark ;40;Notodden;05;2015;2015;2,9;12,173;99,7;3,2;0,252;2;016.F3A;ja;2015-01-30;[object Object];Idrift;;;Skiensvassdraget;16;078;nei;;3;NVE - område: 3;
1763;Forneselva;Kraftverk;K;NORDIC POWER AS;914341183;Troms;55;Tromsø;01;2014;2014;5,2;10,009;114;5,13;0,282;4;203.7Z;ja;2014-06-11;[object Object],[object Object];Idrift;;;Forneselva;;999;nei;;11;NVE - område: 11;
1708;Forsanvatn;Kraftverk;K;NORD-SALTEN KRAFT AS;995114666;Nordland;18;Steigen;48;2013;2013;8,8;21,153;253,6;4;0,611;4;170.2A;ja;2013-06-04;[object Object],[object Object];Idrift;;;Forselva;01;724;nei;;10;NVE - område: 10;
1710;Forsanvatn minikraftverk;Kraftverk;K;NORD-SALTEN KRAFT AS;995114666;Nordland;18;Steigen;48;2013;2013;0,723;4,225;202,912;0,4;0,502;4;170.2A;ja;2013-06-12;[object Object],[object Object],[object Object];Idrift;;;Forselva;;724;nei;;10;NVE - område: 10;
791;Forsland;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Leirfjord;22;2003;2003;7;24,035;80;10;0,19;4;153.2Z;ja;2003-03-03;[object Object],[object Object];Idrift;;;Forslandselva;01;639;nei;;10;NVE - område: 10;
93;Forså;Kraftverk;K;SKS PRODUKSJON AS;915637353;Nordland;18;Gildeskål;38;1963;1963;12;49,541;295;4,59;0,725;4;161.2B;ja;1963-12-19;[object Object];Idrift;;;Forsåga;03;682;nei;;10;NVE - område: 10;
1047;Foss;Kraftverk;K;FOSS KRAFT JOHAN HJORTELAND;985567492;Rogaland;11;Hjelmeland;33;2003;2003;0,113;0,68;;;;2;035.6A;ja;2003-01-01;[object Object];Idrift;;;Norddalsåna;;999;nei;;3;NVE - område: 3;
1637;Fossabekken;Kraftverk;K;GJERDE JAKOB;969353679;Vestland;46;Kvinnherad;17;2011;2011;0,45;0,658;262;0,19;0,658;2;046.320;ja;2011-12-28;[object Object];Idrift;;;KYSTFELT;;999;nei;;5;NVE - område: 5;
780;Fossan;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;2000;2000;2,5;12,192;28;10;0,069;3;123.EA2;ja;2000-01-01;;Idrift;;;Nidelvvassdraget;28;499;nei;;9;NVE - område: 9;
1738;Fossan;Kraftverk;K;NORDKRAFT MAGASIN AS;928657213;Troms;55;Gratangen;16;2013;2013;4,95;18,095;174,1;3,35;0,41;4;190.3A5;ja;2013-05-10;[object Object],[object Object];Idrift;;;Storelva;01;776;nei;;11;NVE - område: 11;
1046;Fossane;Kraftverk;K;FOSSANE WIJGERGANGS;922543917;Rogaland;11;Hjelmeland;33;2001;2001;0,18;0,948;;;;2;035.3B;ja;2001-01-01;[object Object],[object Object];Idrift;;;Vormo;;999;nei;;3;NVE - område: 3;
1878;Fossane;Pumpe;P;HAFSLUND KRAFT AS;976894677;Vestland;46;Aurland;41;2013;2013;-3,6;-5,116;;3;-0,333;5;072.CBA2A;ja;2013-01-01;;Idrift;;;Aurlandsvassdraget;14;293;nei;;2;NVE - område: 2;
