Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
1019;Aurdal;Kraftverk;K;;;Rogaland;11;Vindafjord;60;2002;2002;0,02;0,033;40;;;2;038.5C;ja;2002-01-01;;Idrift;;;Åmselva;;999;nei;;5;NVE - område: 5;
10;Aurland 1;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Vestland;46;Aurland;41;1973;1973;840;2099,408;850;112,5;2,074;5;072.B1A;ja;1973-01-11;[object Object],[object Object];Idrift;;;Aurlandsvassdraget;02;293;nei;;2;NVE - område: 2;
11;Aurland 2 H;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Vestland;46;Aurland;41;1983;1983;70;221,387;500;16,1;1,207;5;072.CB2;ja;1983-01-19;[object Object];Idrift;;;Aurlandsvassdraget;11;293;nei;;2;NVE - område: 2;
12;Aurland 2 L;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Vestland;46;Aurland;41;1982;1982;60;176,033;109;61,95;0,268;5;072.CB2;ja;1982-10-05;[object Object];Idrift;;;Aurlandsvassdraget;21;293;nei;;2;NVE - område: 2;
13;Aurland 3;Pumpekraftverk;PK;HAFSLUND KRAFT AS;976894677;Vestland;46;Aurland;41;1979;1979;270;94,476;400;79,95;0,938;5;072.G;ja;1979-07-30;[object Object];Idrift;;;Aurlandsvassdraget;26;293;nei;;2;NVE - område: 2;
489;Aurland 4 (Vangen);Kraftverk;K;HAFSLUND KRAFT AS;976894677;Vestland;46;Aurland;41;1980;1980;38;102,03;55;90;0,117;5;072.A1;ja;1980-09-25;[object Object],[object Object],[object Object];Idrift;;;Aurlandsvassdraget;01;293;nei;;2;NVE - område: 2;
338;Aurland 5 (Reppa);Kraftverk;K;HAFSLUND KRAFT AS;976894677;Vestland;46;Aurland;41;1984;1984;9;27,804;395;2,59;0,965;5;072.CAA;ja;1984-02-14;[object Object],[object Object];Idrift;;;Aurlandsvassdraget;03;293;nei;;2;NVE - område: 2;
2056;Austad;Kraftverk;K;AUSTAD KRAFTVERK AS;923672443;Agder;42;Bygland;20;2021;2021;1,5;5,02;200;0,86;0,468;2;021.E11A3;ja;2021-10-15;[object Object];Idrift;;;Otra;;115;nei;;4;NVE - område: 4;
793;Austdøla;Kraftverk;K;AUSTDØLA KRAFT AS;985369534;Vestland;46;Ullensvang;18;2004;2004;1,3;9,81;147;1,1;0,328;2;048.DA;ja;2004-01-09;[object Object],[object Object];Idrift;;;Opo;01;213;nei;;3;NVE - område: 3;
1162;Austvass;Kraftverk;K;AUSTVASSKRAFT AS;983640001;Innlandet;34;Nord-Odal;14;2002;2002;0,12;0,103;;;;1;002.EB1A;ja;2002-01-01;;Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
